Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic
File,"ACTBMS.C",0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,,495,104,338,338,338,52,0,0,,26,26,26,0,0,,0,0,,0.15,0
File,"AIRBRUSH.C",3,0,3,0,1,0.00,0.00,0,0,,,,5,,,,,,,66,15,37,32,6,10,0,4,,33,25,18,0,7,,2,0,,0.27,6
Function,"AbortIMode",,,,,,,,,,,,,,,,,,,5,12,0,12,2,7,1,0,0,7,7,9,1,0,8,3,,2,,0.08,
Function,"AbortKeyHit",,,,,,,,,,,,,,,,,,,1,8,0,8,3,3,0,0,0,1,5,6,2,1,3,3,,2,,0.00,
Function,"ActWPaint",,,,,,,,,,,,,,,,,,,2,10,0,10,1,8,0,0,0,4,8,12,0,0,12,5,,1,,0.00,
Function,"AllocBitMap",,,,,,,,,,,,,,,,,,,3,9,0,9,2,4,0,0,0,2,6,7,1,0,6,3,,1,,0.00,
Static Function,"AllocErr",,,,,,,,,,,,,,,,,,,2,5,0,2,1,0,0,1,2,1,1,0,0,0,0,1,,0,,0.00,
Function,"AllocShowNames",,,,,,,,,,,,,,,,,,,0,3,0,3,2,0,0,0,0,1,1,1,1,0,0,1,,0,,0.00,
Static Function,"AllocSpare",,,,,,,,,,,,,,,,,,,2,13,0,13,4,7,0,0,0,6,11,13,4,0,9,4,,2,,0.00,
Function,"AllocTmpRas",,,,,,,,,,,,,,,,,,,4,8,0,8,3,5,1,0,0,5,6,7,2,0,5,2,,1,,0.13,
File,"BEND.C",11,0,11,0,2,0.00,0.00,0,0,,,,11,,,,,,,190,24,153,51,148,11,0,5,,136,125,49,4,72,,4,2,,0.07,27
File,"BITMAPS.C",6,0,6,0,1,0.00,0.00,0,0,,,,12,,,,,,,239,25,117,27,13,53,36,12,,102,49,33,0,16,,3,1,,0.45,16
File,"BLEND.C",24,0,24,1,6,0.00,0.00,0,0,,,,1,,,,,,,80,11,45,12,25,14,0,13,,38,24,15,1,8,,6,2,,0.31,6
File,"BLITOPS.C",0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,,197,23,72,4,1,21,61,27,,61,5,5,0,0,,0,0,,0.29,0
File,"BLITREGS.H",0,0,0,0,0,0.00,0.00,0,0,,,,0,,,,,,,23,4,11,11,1,3,0,7,,10,23,23,0,0,,0,0,,0.27,0
Function,"BMAllocMask",,,,,,,,,,,,,,,,,,,2,3,0,3,0,0,0,0,0,1,2,0,0,0,0,1,,0,,0.00,
Static Function,"BMBendH",,,,,,,,,,,,,,,,,,,5,20,0,19,4,7,2,0,0,5,14,12,4,0,8,3,,1,,0.11,
Static Function,"BMBendV",,,,,,,,,,,,,,,,,,,5,20,0,20,1,8,0,0,0,6,15,10,1,0,9,3,,1,,0.00,
Function,"BMBlitSize",,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,1,2,1,0,0,1,1,,0,,0.00,
File,"BMOB.C",13,1,10,1,2,0.00,0.00,0,0,,,,15,,,,,,,417,57,240,53,175,82,41,23,,212,181,66,2,113,,11,2,,0.34,37
Function,"BMOBFreeTmp",,,,,,,,,,,,,,,,,,,3,1,0,1,1,1,0,0,0,2,1,1,0,0,1,1,,0,,0.00,
Function,"BMOBMask",,,,,,,,,,,,,,,,,,,10,7,0,7,1,4,0,0,0,3,6,5,0,0,5,2,,1,,0.00,
Function,"BMOBRotSize",,,,,,,,,,,,,,,,,,,1,11,0,11,2,0,0,0,0,1,8,1,1,0,0,1,,0,,0.00,
Function,"BMRot90",,,,,,,,,,,,,,,,,,,3,36,0,36,4,14,2,0,0,2,36,30,10,1,19,7,,4,,0.06,
File,"BOX.C",8,0,8,0,3,0.00,0.00,0,0,,,,6,,,,,,,70,10,49,6,12,9,0,2,,60,75,10,16,49,,7,1,,0.18,20
File,"BRXFORM.C",9,0,9,0,2,0.00,0.00,0,0,,,,9,,,,,,,146,22,97,30,52,24,0,3,,85,101,37,0,64,,4,1,,0.25,22
Function,"BailOut",,,,,,,,,,,,,,,,,,,3,7,0,7,3,4,0,0,0,3,5,6,2,0,4,1,,0,,0.00,
Function,"BasicBandW",,,,,,,,,,,,,,,,,,,3,1,0,1,1,1,0,0,0,2,2,3,1,0,2,1,,0,,0.00,
Function,"BlankBitMap",,,,,,,,,,,,,,,,,,,4,3,0,3,1,0,0,0,0,1,2,0,0,0,0,1,,0,,0.00,
Function,"BoxAnd",,,,,,,,,,,,,,,,,,,4,10,0,10,0,1,0,0,0,1,11,1,0,0,1,2,,1,,0.00,
Function,"BoxBeInside",,,,,,,,,,,,,,,,,,,4,9,0,9,1,2,0,0,0,1,8,2,0,0,2,3,,0,,0.00,
Function,"BoxContains",,,,,,,,,,,,,,,,,,,1,3,0,3,0,0,0,0,0,1,3,0,0,0,0,1,,0,,0.00,
Function,"BoxFrByteBox",,,,,,,,,,,,,,,,,,,2,3,0,3,2,1,0,0,0,2,3,2,1,0,1,1,,0,,0.00,
