Kind,Name,AvgCountLine,AvgCountLineCode,AvgCyclomatic,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic
File,ACTBMS.C,0,0,0,0,495,104,338,338,338,52,0,0,26,26,26,0,0,0,0,0.15,0
File,AIRBRUSH.C,3,3,1,5,66,15,37,32,6,10,0,4,33,25,18,0,7,2,0,0.27,6
File,BEND.C,11,11,2,11,190,24,153,51,148,11,0,5,136,125,49,4,72,4,2,0.07,27
File,BITMAPS.C,6,6,1,12,239,25,117,27,13,53,36,12,102,49,33,0,16,3,1,0.45,16
File,BLEND.C,24,24,6,1,80,11,45,12,25,14,0,13,38,24,15,1,8,6,2,0.31,6
File,BLITOPS.C,0,0,0,0,197,23,72,4,1,21,61,27,61,5,5,0,0,0,0,0.29,0
File,BLITREGS.H,0,0,0,0,23,4,11,11,1,3,0,7,10,23,23,0,0,0,0,0.27,0
File,BMOB.C,13,10,2,15,417,57,240,53,175,82,41,23,212,181,66,2,113,11,2,0.34,37
File,BOX.C,8,8,3,6,70,10,49,6,12,9,0,2,60,75,10,16,49,7,1,0.18,20
File,BRXFORM.C,9,9,2,9,146,22,97,30,52,24,0,3,85,101,37,0,64,4,1,0.25,22
File,CCYCLE.C,5,5,2,15,191,43,124,113,69,21,0,5,105,109,49,0,60,7,4,0.17,31
File,CHPROC.C,17,12,9,11,253,41,166,81,106,60,14,13,208,347,105,1,241,74,3,0.36,95
File,CLIP.C,17,15,4,8,215,27,138,145,83,34,7,19,109,142,50,0,92,10,3,0.25,34
File,CONIC.C,11,11,1,2,239,29,165,54,14,42,0,9,164,45,41,0,4,1,0,0.25,2
File,CTRPAN.C,11,11,2,14,529,86,367,81,196,37,20,27,353,195,111,0,84,5,1,0.1,27
File,CURBRUSH.C,8,8,3,10,171,22,118,32,157,16,11,15,96,99,41,0,58,11,3,0.14,26
File,CURSBMS.C,0,0,0,0,189,22,151,151,151,25,0,0,5,5,5,0,0,0,0,0.17,0
File,CURSOR.C,3,3,2,10,74,18,43,18,15,13,0,2,32,46,28,0,18,3,1,0.3,16
File,DALLOC.C,0,0,0,0,39,5,19,1,0,12,0,3,13,1,1,0,0,0,0,0.63,0
File,DISPNUM.C,10,9,2,5,145,25,81,86,18,33,0,6,68,54,38,0,16,2,1,0.41,10
File,DISTANCE.C,0,0,0,0,21,2,9,0,0,8,0,1,10,0,0,0,0,0,0,0.89,0
File,DOPALETT.C,14,14,3,3,67,6,48,24,27,11,0,2,46,61,26,4,31,6,2,0.23,10
File,DOSYMREQ.C,10,10,1,1,26,2,16,12,4,6,0,2,14,17,13,0,4,1,0,0.38,1
File,DOTBMS.C,0,0,0,0,139,24,102,102,102,12,0,0,6,6,6,0,0,0,0,0.12,0
File,DPHOOK.H,0,0,0,0,17,1,10,0,0,13,0,0,8,1,1,0,0,0,0,1.3,0
File,DPIFF.C,7,7,1,1,342,49,202,23,0,86,10,8,149,27,27,0,0,1,0,0.43,1
File,DPIFF.H,0,0,0,0,45,9,17,0,0,11,0,9,16,17,17,0,0,0,0,0.65,0
File,DPINIT.C,26,20,3,8,439,77,272,138,108,56,38,21,236,260,133,6,121,15,3,0.21,27
File,DPINIT2.C,15,14,1,4,127,21,93,26,4,9,0,4,81,52,48,0,4,2,1,0.1,5
File,DPIO.C,13,13,3,15,352,39,266,66,330,23,20,11,217,208,84,0,124,6,4,0.09,41
File,FILL.C,1,1,1,2,198,35,110,38,2,28,13,15,110,26,24,0,2,1,0,0.25,2
File,FNBMS.C,0,0,0,0,44,2,36,36,36,5,0,0,2,2,2,0,0,0,0,0.14,0
File,FNREQ.C,15,14,2,11,795,108,568,67,544,125,3,32,314,182,108,2,73,8,2,0.22,25
File,FNREQ.H,0,0,0,0,12,1,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0
File,FONTINIT.C,26,19,2,4,178,23,93,44,25,15,29,22,84,89,59,3,27,3,1,0.16,9
File,GEOM.C,0,0,0,0,119,18,85,5,0,12,0,3,88,5,5,0,0,0,0,0.14,0
File,GRDEFS.H,0,0,0,0,331,67,130,126,3,95,0,99,119,147,147,0,0,0,0,0.73,0
File,HOOK.C,0,0,0,0,39,7,25,1,0,5,0,1,20,2,2,0,0,0,0,0.2,0
File,HSV.C,16,14,4,8,216,23,125,61,210,71,0,15,94,125,42,1,82,15,4,0.57,34
File,IFFR.C,0,0,0,0,296,47,204,5,0,57,0,1,147,7,7,0,0,0,0,0.28,0
File,IFFW.C,7,7,2,1,311,43,210,16,5,79,0,4,149,29,25,0,4,2,1,0.38,2
File,ILBMR.C,0,0,0,0,145,22,89,3,0,43,0,2,69,8,8,0,0,0,0,0.48,0
File,ILBMW.C,0,0,0,0,141,19,99,5,0,29,0,2,84,14,14,0,0,0,0,0.29,0
File,INITOVS.C,1,1,1,1,11,2,1,1,0,7,0,0,0,1,1,0,0,1,0,7,1
File,INITREAD.C,1,1,1,1,10,2,1,1,0,7,0,0,0,1,1,0,0,1,0,7,1
File,INITWRIT.C,1,1,1,1,10,2,1,1,0,7,0,0,0,1,1,0,0,1,0,7,1
File,INTUALL.H,0,0,0,0,34,3,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
File,KEYJUNK.C,3,3,2,2,110,14,66,63,18,28,0,4,71,19,16,0,3,2,1,0.42,3
File,MAGBITS.C,0,0,0,0,234,23,68,4,0,38,101,8,68,6,6,0,0,0,0,0.56,0
File,MAGOPS.C,4,4,1,7,141,26,96,22,8,16,0,3,88,31,24,0,7,2,0,0.17,8
File,MAGWIN.C,8,7,2,10,216,32,119,41,42,49,18,6,103,93,47,0,46,3,1,0.41,16
File,MAINMAG.C,7,7,2,32,451,68,304,107,136,28,44,11,255,289,125,2,162,6,2,0.09,58
File,MAKEICON.C,0,0,0,0,237,23,164,69,64,42,0,14,48,11,11,0,0,0,0,0.26,0
File,MASKBLIT.C,0,0,0,0,156,17,98,8,0,41,0,21,88,9,9,0,0,0,0,0.42,0
File,MENU.C,6,6,3,16,454,65,268,368,70,38,63,31,214,284,147,0,137,22,2,0.14,53
File,MESSAGE.C,0,0,0,0,29,6,14,16,0,5,0,3,12,7,7,0,0,0,0,0.36,0
File,MODES.C,3,3,1,74,457,103,290,375,401,51,12,7,277,341,183,2,156,6,1,0.18,93
File,MOUSEBUT.C,6,6,3,1,21,4,8,4,3,5,0,3,6,11,6,0,5,3,1,0.63,3
File,PACKER.H,0,0,0,0,37,5,5,4,1,20,0,6,5,6,6,0,0,0,0,4,0
