Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxNesting,RatioCommentToCode
Function,AbortIMode,5,12,0,12,2,7,1,0,0,7,7,9,1,0,8,3,2,0.08
Function,AbortKeyHit,1,8,0,8,3,3,0,0,0,1,5,6,2,1,3,3,2,0
Function,ActWPaint,2,10,0,10,1,8,0,0,0,4,8,12,0,0,12,5,1,0
Function,afillproc,0,1,0,1,1,1,0,0,0,1,1,2,1,0,1,1,0,0
Function,AllocBitMap,3,9,0,9,2,4,0,0,0,2,6,7,1,0,6,3,1,0
Function,AllocShowNames,0,3,0,3,2,0,0,0,0,1,1,1,1,0,0,1,0,0
Function,AllocTmpRas,4,8,0,8,3,5,1,0,0,5,6,7,2,0,5,2,1,0.13
Function,BailOut,3,7,0,7,3,4,0,0,0,3,5,6,2,0,4,1,0,0
Function,BasicBandW,3,1,0,1,1,1,0,0,0,2,2,3,1,0,2,1,0,0
Function,beginrot,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0
Function,beginstr,1,4,0,4,1,3,0,0,0,2,2,2,0,0,2,1,0,0
Function,BlankBitMap,4,3,0,3,1,0,0,0,0,1,2,0,0,0,0,1,0,0
Function,BMAllocMask,2,3,0,3,0,0,0,0,0,1,2,0,0,0,0,1,0,0
Function,BMBlitSize,1,3,0,3,1,1,0,0,0,1,2,1,0,0,1,1,0,0
Function,BMOBFreeTmp,3,1,0,1,1,1,0,0,0,2,1,1,0,0,1,1,0,0
Function,BMOBMask,10,7,0,7,1,4,0,0,0,3,6,5,0,0,5,2,1,0
Function,BMOBRotSize,1,11,0,11,2,0,0,0,0,1,8,1,1,0,0,1,0,0
Function,BMRot90,3,36,0,36,4,14,2,0,0,2,36,30,10,1,19,7,4,0.06
Function,BoxAnd,4,10,0,10,0,1,0,0,0,1,11,1,0,0,1,2,1,0
Function,BoxBeInside,4,9,0,9,1,2,0,0,0,1,8,2,0,0,2,3,0,0
Function,BoxContains,1,3,0,3,0,0,0,0,0,1,3,0,0,0,0,1,0,0
Function,BoxFrByteBox,2,3,0,3,2,1,0,0,0,2,3,2,1,0,1,1,0,0
Function,BoxFromSM,3,1,0,1,1,1,0,0,0,2,2,2,1,0,1,1,0,0
Function,BoxNot,2,8,0,8,1,7,0,0,0,1,22,15,0,0,15,1,0,0
Function,BoxThreePts,8,6,0,6,1,2,0,0,0,1,13,41,0,12,29,7,1,0
Function,BoxTwoPts,6,5,0,5,1,2,0,0,0,1,9,17,0,4,13,3,1,0
Function,BrBgToFg,3,5,0,5,3,3,0,0,0,2,3,6,2,0,4,2,1,0
Function,BrBox,3,4,0,4,1,2,0,0,0,2,4,4,0,0,4,4,1,0
Function,BrDubl,3,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0
