Source,Target,weight
AIRBRUSH.C,CCYCLE.C,1
AIRBRUSH.C,MODES.C,4
AIRBRUSH.C,PAINTW.C,4
AIRBRUSH.C,PNTS.H,5
AIRBRUSH.C,PRISM.H,9
AIRBRUSH.C,SYSTEM.H,1
BEND.C,BMOB.C,1
BEND.C,BOX.C,1
BEND.C,BRXFORM.C,5
BEND.C,CURSOR.C,2
BEND.C,PAINTW.C,8
BEND.C,PNTS.H,23
BEND.C,PRISM.C,33
BEND.C,PRISM.H,29
BEND.C,ROTATE.C,6
BEND.C,SYSTEM.H,1
BITMAPS.C,PRISM.H,22
BITMAPS.C,SYSTEM.H,1
BLEND.C,PRISM.C,3
BLEND.C,PRISM.H,8
BLEND.C,SYSTEM.H,1
BLITOPS.C,PRISM.H,5
BLITOPS.C,SYSTEM.H,1
BMOB.C,BITMAPS.C,13
BMOB.C,BLEND.C,1
BMOB.C,PAINTW.C,1
BMOB.C,PGRAPH.C,14
BMOB.C,PRISM.C,14
BMOB.C,PRISM.H,92
BMOB.C,SHADE.C,1
BMOB.C,SYSTEM.H,1
BOX.C,PRISM.H,40
BOX.C,SYSTEM.H,1
BRXFORM.C,BITMAPS.C,10
BRXFORM.C,BMOB.C,3
BRXFORM.C,CURSOR.C,4
BRXFORM.C,PGRAPH.C,1
BRXFORM.C,PRISM.C,27
BRXFORM.C,PRISM.H,24
BRXFORM.C,SYSTEM.H,1
CCYCLE.C,PALETTE.C,20
CCYCLE.C,PGRAPH.C,2
CCYCLE.C,PRISM.H,31
CCYCLE.C,SYSTEM.H,1
CHPROC.C,AIRBRUSH.C,2
CHPROC.C,BRXFORM.C,2
CHPROC.C,CCYCLE.C,2
CHPROC.C,CURSOR.C,1
CHPROC.C,DISPNUM.C,2
CHPROC.C,DOPALETT.C,1
CHPROC.C,KEYJUNK.C,1
CHPROC.C,MAGWIN.C,2
CHPROC.C,MAINMAG.C,7
CHPROC.C,MENU.C,1
CHPROC.C,MODES.C,3
CHPROC.C,PAINTW.C,24
CHPROC.C,PANE.C,1
CHPROC.C,PNTS.H,7
CHPROC.C,PRISM.C,12
CHPROC.C,PRISM.H,61
CHPROC.C,ROT90.C,1
CHPROC.C,SPARE.C,1
CHPROC.C,STRETCH.C,2
CHPROC.C,SYSTEM.H,1
CLIP.C,SYSTEM.H,1
CONIC.C,PRISM.H,4
CONIC.C,SYSTEM.H,1
CTRPAN.C,BITMAPS.C,1
CTRPAN.C,PANE.C,8
CTRPAN.C,PGRAPH.C,11
CTRPAN.C,PRISM.C,16
CTRPAN.C,PRISM.H,84
CTRPAN.C,SYSTEM.H,1
CURBRUSH.C,BITMAPS.C,1
CURBRUSH.C,BMOB.C,1
CURBRUSH.C,CURSOR.C,1
CURBRUSH.C,MENU.C,1
CURBRUSH.C,MODES.C,2
CURBRUSH.C,PAINTW.C,1
CURBRUSH.C,PRISM.C,23
CURBRUSH.C,PRISM.H,29
CURBRUSH.C,SYSTEM.H,1
CURSOR.C,PRISM.H,16
CURSOR.C,SYSTEM.H,1
DALLOC.C,exec\memory.h,1
DALLOC.C,exec\nodes.h,1
DALLOC.C,exec\types.h,1
DISPNUM.C,PRISM.C,6
DISPNUM.C,PRISM.H,16
DISPNUM.C,SYSTEM.H,1
DISTANCE.C,exec\types.h,1
DOPALETT.C,CCYCLE.C,11
DOPALETT.C,DISPNUM.C,1
DOPALETT.C,MAINMAG.C,3
DOPALETT.C,PANE.C,2
DOPALETT.C,PGRAPH.C,1
DOPALETT.C,PRISM.C,2
DOPALETT.C,PRISM.H,4
DOPALETT.C,SYSTEM.H,1
DOSYMREQ.C,MAINMAG.C,2
DOSYMREQ.C,PRISM.C,2
DOSYMREQ.C,PRISM.H,2
DOSYMREQ.C,SYSTEM.H,1
DPIFF.C,DPIFF.H,12
DPIFF.C,PRISM.H,2
DPIFF.C,SYSTEM.H,1
DPIFF.H,iff\ilbm.h,1
DPIFF.H,PALETTE.C,1
DPIFF.H,PRISM.H,1
DPINIT.C,BITMAPS.C,1
DPINIT.C,BMOB.C,4
DPINIT.C,CCYCLE.C,1
DPINIT.C,CHPROC.C,2
DPINIT.C,CURSOR.C,1
DPINIT.C,DISPNUM.C,1
DPINIT.C,DPHOOK.H,1
DPINIT.C,DPINIT2.C,2
DPINIT.C,FONTINIT.C,1
DPINIT.C,librarie\dosexten.h,1
DPINIT.C,MAGWIN.C,1
DPINIT.C,MAINMAG.C,15
DPINIT.C,MENU.C,1
DPINIT.C,PANE.C,1
DPINIT.C,PGRAPH.C,3
DPINIT.C,PRISM.C,59
DPINIT.C,PRISM.H,40
DPINIT.C,SYSTEM.H,1
DPINIT.C,workbenc\startup.h,1
DPINIT2.C,CTRPAN.C,2
DPINIT2.C,PRISM.H,16
DPINIT2.C,SYSTEM.H,1
DPIO.C,BMOB.C,1
DPIO.C,BRXFORM.C,1
DPIO.C,CCYCLE.C,3
DPIO.C,CURBRUSH.C,1
DPIO.C,CURSOR.C,8
DPIO.C,DPIFF.C,1
DPIO.C,DPIFF.H,17
DPIO.C,FNREQ.H,6
DPIO.C,INITREAD.C,2
DPIO.C,INITWRIT.C,3
DPIO.C,librarie\dos.h,1
DPIO.C,MAINMAG.C,1
DPIO.C,MODES.C,1
DPIO.C,PAINTW.C,1
DPIO.C,PALETTE.C,2
DPIO.C,PANE.C,5
DPIO.C,PRISM.C,24
DPIO.C,PRISM.H,22
